Date,Team 1,Score,Team 2
22 September 2023,Al Nassr,0 - 2,Al Taawon
22 September 2023,Al Wahda,3 - 1,Al Shabab
22 September 2023,Al-Khaleej Club,1 - 3,Al-Ahli
22 September 2023,Damac FC,2 - 2,Al-Riyadh SC
22 September 2023,Abha Club,1 - 3,Al Hilal
22 September 2023,AL Ettifaq FC,2 - 1,Al Nassr
22 September 2023,Al Raed,0 - 3,Al Ittihad
22 September 2023,Al Shabab,1 - 1,Al-Okhdood Club
17 February 2024,Al Shabab,1 - 2,Al Taawon
17 February 2024,Al Feiha,2 - 4,Damac FC
17 February 2024,Al Hilal,3 - 0,Al Nassr
22 September 2023,Al-Riyadh SC,1 - 0,Al Wahda
22 September 2023,Al Fateh FC,1 - 1,Al Taawon
22 September 2023,Al Feiha,3 - 1,Al-Khaleej Club
22 September 2023,Al-Tai FC,1 - 0,Damac FC
22 September 2023,Al-Ahli,3 - 1,AL Hazem FC
